"Time [s]";"Pressure [mmHg]";
11.96;152.55;
11.97;152.67;
11.98;152.70;
11.99;152.69;
12.00;152.67;
12.01;154.55;
12.02;164.08;
12.03;168.55;
12.04;160.27;
12.05;146.19;
12.06;143.30;
12.07;152.25;
12.08;161.20;
12.09;160.98;
12.10;147.75;
12.11;138.58;
12.12;143.89;
12.13;154.02;
12.14;159.31;
12.15;153.27;
12.16;138.58;
12.17;134.81;
12.18;143.56;
12.19;153.67;
12.20;154.88;
12.21;142.88;
12.22;132.86;
12.23;137.45;
12.24;148.12;
12.25;154.81;
12.26;152.03;
12.27;137.23;
12.28;132.09;
12.29;139.77;
12.30;149.62;
12.31;152.03;
12.32;141.72;
12.33;130.47;
12.34;133.50;
12.35;144.25;
12.36;151.33;
12.37;145.08;
12.38;132.17;
12.39;129.89;
12.40;138.39;
12.41;147.83;
12.42;148.92;
12.43;137.59;
12.44;132.94;
12.45;142.78;
12.46;156.91;
12.47;169.91;
12.48;179.11;
12.49;183.36;
12.50;183.55;
12.51;179.22;
12.52;174.70;
12.53;175.05;
12.54;175.81;
12.55;175.64;
12.56;174.16;
12.57;171.58;
12.58;170.86;
12.59;170.28;
12.60;165.28;
12.61;164.34;
12.62;163.55;
12.63;162.59;
12.64;161.84;
12.65;161.19;
12.66;160.75;
12.67;160.12;
12.68;159.11;
12.69;158.06;
12.70;157.02;
12.71;156.33;
12.72;156.02;
12.73;156.20;
12.74;156.67;
12.75;157.25;
12.76;157.83;
12.77;158.44;
12.78;158.78;
12.79;158.97;
12.80;158.92;
12.81;158.72;
12.82;158.61;
12.83;158.23;
12.84;157.80;
12.85;157.09;
12.86;156.23;
12.87;155.64;
12.88;155.05;
12.89;154.52;
12.90;153.91;
12.91;153.27;
12.92;152.64;
12.93;152.25;
12.94;151.56;
12.95;151.19;
12.96;150.83;
12.97;150.42;
12.98;150.09;
12.99;149.64;
13.00;149.38;
13.01;148.89;
13.02;148.69;
13.03;148.48;
13.04;148.06;
13.05;147.75;
13.06;147.50;
13.07;147.23;
13.08;146.98;
13.09;146.86;
13.10;146.77;
13.11;146.62;
13.12;146.19;
13.13;146.19;
13.14;145.91;
13.15;145.72;
13.16;145.30;
13.17;145.03;
13.18;144.59;
13.19;144.39;
13.20;144.41;
13.21;144.98;
13.22;146.62;
13.23;150.75;
13.24;156.44;
13.25;162.53;
13.26;168.30;
13.27;173.12;
13.28;176.42;
13.29;178.00;
13.30;178.31;
13.31;177.84;
13.32;176.59;
13.33;174.70;
13.34;172.58;
13.35;170.38;
13.36;168.25;
13.37;166.50;
13.38;165.27;
13.39;164.08;
13.40;163.28;
13.41;162.44;
13.42;161.73;
13.43;161.12;
13.44;160.08;
13.45;158.75;
13.46;157.88;
13.47;156.86;
13.48;156.08;
13.49;155.81;
13.50;155.86;
13.51;156.16;
13.52;156.91;
13.53;157.50;
13.54;158.06;
13.55;158.50;
13.56;158.50;
13.57;158.70;
13.58;158.59;
13.59;158.44;
13.60;157.94;
13.61;157.34;
13.62;156.84;
13.63;156.20;
13.64;155.56;
13.65;154.78;
13.66;154.16;
13.67;153.48;
13.68;152.84;
13.69;152.16;
13.70;151.55;
13.71;150.91;
13.72;150.45;
13.73;150.19;
13.74;149.84;
13.75;149.47;
13.76;149.06;
13.77;148.48;
13.78;148.14;
13.79;147.67;
13.80;147.25;
13.81;147.16;
13.82;147.06;
13.83;146.94;
13.84;146.53;
13.85;146.41;
13.86;145.98;
13.87;146.05;
13.88;145.86;
13.89;145.56;
13.90;145.41;
13.91;145.09;
13.92;144.97;
13.93;144.61;
13.94;144.34;
13.95;144.09;
13.96;143.83;
13.97;143.52;
13.98;143.19;
13.99;143.33;
14.00;144.05;
14.01;146.59;
14.02;151.39;
14.03;157.89;
14.04;164.73;
14.05;170.81;
14.06;175.42;
14.07;178.12;
14.08;179.41;
14.09;179.47;
14.10;178.73;
14.11;177.52;
14.12;175.56;
14.13;173.17;
14.14;170.95;
14.15;169.17;
14.16;167.61;
14.17;166.58;
14.18;165.83;
14.19;165.25;
14.20;164.67;
14.21;164.11;
14.22;163.47;
14.23;162.73;
14.24;161.72;
14.25;160.28;
14.26;158.91;
14.27;157.89;
14.28;157.27;
14.29;157.14;
14.30;157.42;
14.31;157.70;
14.32;158.19;
14.33;158.48;
14.34;158.78;
14.35;158.95;
14.36;158.97;
14.37;158.67;
14.38;158.48;
14.39;158.36;
14.40;158.02;
14.41;157.53;
14.42;156.94;
14.43;156.33;
14.44;155.47;
14.45;154.92;
14.46;154.45;
14.47;153.69;
14.48;152.98;
14.49;152.48;
14.50;151.89;
14.51;151.39;
14.52;150.70;
14.53;150.30;
14.54;149.88;
14.55;149.58;
14.56;149.36;
14.57;148.86;
14.58;148.59;
14.59;148.09;
14.60;147.62;
14.61;147.59;
14.62;147.48;
14.63;147.33;
14.64;146.81;
14.65;146.44;
14.66;146.09;
14.67;145.92;
14.68;145.97;
14.69;145.77;
14.70;145.75;
14.71;145.59;
14.72;145.34;
14.73;145.06;
14.74;144.81;
14.75;144.39;
14.76;144.17;
14.77;143.97;
14.78;143.59;
14.79;143.23;
14.80;142.95;
14.81;142.69;
14.82;142.80;
14.83;143.83;
14.84;146.78;
14.85;151.95;
14.86;158.28;
14.87;164.52;
14.88;169.86;
14.89;174.14;
14.90;176.45;
14.91;177.59;
14.92;177.61;
14.93;176.95;
14.94;175.66;
14.95;173.83;
14.96;171.66;
14.97;169.75;
14.98;167.95;
14.99;166.58;
15.00;165.44;
15.01;164.75;
15.02;164.25;
15.03;163.77;
15.04;163.20;
15.05;162.72;
15.06;162.05;
15.07;160.95;
15.08;159.61;
15.09;158.34;
15.10;157.36;
15.11;156.80;
15.12;156.62;
15.13;156.64;
15.14;156.80;
15.15;157.25;
15.16;157.61;
15.17;157.86;
15.18;158.09;
15.19;158.03;
15.20;96.81;
15.21;95.55;
15.22;94.48;
15.23;93.75;
15.24;93.45;
15.25;93.23;
15.26;92.89;
15.27;92.53;
15.28;91.95;
15.29;91.03;
15.30;90.27;
15.31;89.30;
15.32;88.77;
15.33;88.34;
15.34;87.84;
15.35;87.31;
15.36;86.97;
15.37;86.45;
15.38;85.92;
15.39;85.67;
15.40;85.27;
15.41;84.91;
