session_id,elapsed_s,sample_index,effective_rate_hz,waveform_label,wave_bpm,peak_like,trough_like
cnap_20260402_165206,30.261456041,3027,100.028233800,ch2,133.891213389,615.352941176,612.125000000
cnap_20260402_165206,31.271910625,3128,100.025867863,ch2,128.950695322,615.333333333,612.117647059
cnap_20260402_165206,32.280110166,3229,100.030637547,ch2,130.434782609,615.277777778,612.117647059
cnap_20260402_165206,33.281791791,3329,100.024662762,ch2,131.612903226,615.277777778,612.176470588
cnap_20260402_165206,34.290787625,3430,100.026865452,ch2,134.742404227,615.277777778,612.176470588
cnap_20260402_165206,35.302062875,3531,100.022483459,ch2,137.755102041,615.263157895,612.222222222
cnap_20260402_165206,36.311895583,3632,100.022318904,ch2,133.682830931,615.277777778,612.235294118
cnap_20260402_165206,37.321062833,3733,100.023946711,ch2,137.229987294,615.315789474,612.166666667
cnap_20260402_165206,38.330661958,3834,100.024361807,ch2,129.936305732,615.388888889,612.176470588
cnap_20260402_165206,39.332189750,3934,100.019857145,ch2,131.868131868,615.352941176,612.125000000
cnap_20260402_165206,40.341326708,4035,100.021499769,ch2,128.950695322,615.277777778,612.176470588
cnap_20260402_165206,41.350730250,4136,100.022417379,ch2,132.295719844,615.277777778,612.117647059
cnap_20260402_165206,42.351995541,4236,100.018899839,ch2,123.076923077,615.294117647,612.062500000
cnap_20260402_165206,43.324656458,4333,100.012333720,ch2,117.955439056,615.312500000,612.133333333
cnap_20260402_165206,44.360442333,4437,100.021545473,ch2,121.212121212,615.352941176,612.187500000
cnap_20260402_165206,45.371767416,4538,100.018144728,ch2,117.955439056,615.375000000,612.200000000
cnap_20260402_165206,46.381631166,4639,100.018043423,ch2,123.552123552,615.294117647,612.187500000
cnap_20260402_165206,47.391887416,4740,100.017118086,ch2,125.000000000,615.235294118,612.187500000
cnap_20260402_165206,48.391793291,4840,100.016958886,ch2,128.787878788,615.222222222,612.235294118
cnap_20260402_165206,49.411768208,4942,100.016659578,ch2,122.448979592,615.312500000,612.266666667
cnap_20260402_165206,50.421435291,5043,100.016986246,ch2,129.113924051,615.222222222,612.235294118
cnap_20260402_165206,51.431080291,5144,100.017343033,ch2,121.827411168,615.294117647,612.187500000
cnap_20260402_165206,52.441491208,5245,100.016225305,ch2,124.837451235,615.235294118,612.187500000
cnap_20260402_165206,53.450677708,5346,100.017440924,ch2,123.234916560,615.235294118,612.312500000
cnap_20260402_165206,54.461340750,5447,100.015899811,ch2,126.816380449,615.235294118,612.437500000
cnap_20260402_165206,55.471813666,5548,100.014757646,ch2,114.942528736,615.375000000,612.400000000
cnap_20260402_165206,56.480380416,5649,100.017031727,ch2,120.160213618,615.375000000,612.333333333
cnap_20260402_165206,57.481787666,5749,100.014286845,ch2,120.754716981,615.294117647,612.437500000
cnap_20260402_165206,58.491860291,5850,100.013915969,ch2,125.984251969,615.294117647,612.437500000
cnap_20260402_165206,59.501681541,5951,100.013980208,ch2,130.102040816,615.277777778,612.411764706
cnap_20260402_165206,60.511761916,6052,100.013614021,ch2,127.152317881,615.352941176,612.500000000
cnap_20260402_165206,61.521655375,6153,100.013563720,ch2,131.274131274,615.277777778,612.411764706
cnap_20260402_165206,62.532323583,6254,100.012275918,ch2,126.315789474,615.352941176,612.375000000
cnap_20260402_165206,63.540580625,6355,100.014824188,ch2,133.518776078,615.294117647,612.375000000
cnap_20260402_165206,64.550326333,6456,100.014986240,ch2,124.401913876,615.285714286,612.461538462
cnap_20260402_165206,65.560113583,6557,100.015079927,ch2,126.436781609,615.333333333,612.545454545
cnap_20260402_165206,66.571721083,6658,100.012436087,ch2,123.711340206,615.333333333,612.625000000
cnap_20260402_165206,67.577835750,6758,100.003202603,ch2,129.230769231,615.125000000,612.428571429
cnap_20260402_165206,68.610796666,6862,100.013413828,ch2,131.771595900,612.562500000,608.733333333
cnap_20260402_165206,69.601750000,6961,100.011853150,ch2,132.352941176,612.000000000,607.916666667
cnap_20260402_165206,70.632125541,7064,100.011148552,ch2,125.523012552,611.727272727,607.500000000
cnap_20260402_165206,71.642097875,7165,100.011030002,ch2,126.315789474,611.000000000,607.000000000
cnap_20260402_165206,72.650858416,7266,100.012582899,ch2,131.386861314,611.000000000,607.000000000
cnap_20260402_165206,73.651579958,7366,100.011432263,ch2,134.831460674,611.000000000,607.000000000
cnap_20260402_165206,74.661708583,7467,100.011105314,ch2,127.659574468,611.000000000,607.000000000
cnap_20260402_165206,76.680891416,7669,100.011878558,ch2,132.812500000,199.055555556,195.941176471
cnap_20260402_165206,77.681950708,7769,100.010361856,ch2,134.387351779,199.055555556,195.941176471
cnap_20260402_165206,78.690657916,7870,100.011871910,ch2,137.755102041,199.052631579,195.944444444
cnap_20260402_165206,79.700385791,7971,100.012062939,ch2,132.639791938,199.000000000,196.000000000
cnap_20260402_165206,80.701718541,8071,100.010261812,ch2,133.333333333,199.000000000,196.000000000
cnap_20260402_165206,81.711978833,8172,100.009816391,ch2,131.953428202,199.000000000,196.000000000
cnap_20260402_165206,82.720156750,8273,100.011899458,ch2,128.625472888,199.055555556,196.000000000
cnap_20260402_165206,83.732201416,8374,100.009313721,ch2,130.268199234,199.055555556,196.000000000
cnap_20260402_165206,84.741481375,8475,100.010052485,ch2,124.837451235,199.058823529,196.000000000
cnap_20260402_165206,85.751116291,8576,100.010359876,ch2,128.686327078,199.058823529,196.000000000
cnap_20260402_165206,86.760116000,8677,100.011392331,ch2,130.601792574,199.055555556,196.000000000
cnap_20260402_165206,87.771345625,8778,100.009860137,ch2,126.149802891,199.058823529,196.000000000
cnap_20260402_165206,88.781515000,8879,100.009557170,ch2,134.034165572,199.055555556,195.941176471
cnap_20260402_165206,89.791489750,8980,100.009477791,ch2,137.229987294,199.052631579,195.944444444
cnap_20260402_165206,90.800452583,9081,100.010514724,ch2,140.442132640,199.000000000,195.944444444
cnap_20260402_165206,91.801899875,9181,100.008823483,ch2,135.818908123,199.111111111,195.941176471
cnap_20260402_165206,92.810779958,9282,100.009934236,ch2,130.102040816,199.111111111,195.941176471
cnap_20260402_165206,93.812623666,9382,100.007862837,ch2,131.443298969,199.111111111,195.941176471
cnap_20260402_165206,94.821650791,9483,100.008805172,ch2,126.649076517,199.176470588,195.937500000
cnap_20260402_165206,95.832109291,9584,100.008233888,ch2,122.292993631,199.176470588,196.000000000
cnap_20260402_165206,96.841782166,9685,100.008485835,ch2,122.137404580,199.176470588,196.062500000
cnap_20260402_165206,97.853115833,9786,100.007035205,ch2,124.513618677,199.176470588,196.062500000
cnap_20260402_165206,98.861490750,9887,100.008607244,ch2,126.816380449,199.176470588,196.125000000
cnap_20260402_165206,99.870263375,9988,100.009749273,ch2,127.659574468,199.058823529,196.125000000
cnap_20260402_165206,100.871860750,10088,100.008068900,ch2,124.675324675,199.058823529,196.062500000
cnap_20260402_165206,101.880132041,10189,100.009685852,ch2,128.859060403,199.058823529,196.062500000
cnap_20260402_165206,102.881668750,10289,100.008097895,ch2,130.937098845,199.000000000,195.941176471
cnap_20260402_165206,103.881810875,10389,100.007883117,ch2,134.564643799,199.000000000,195.882352941
cnap_20260402_165206,104.901737083,10491,100.007876816,ch2,137.055837563,199.000000000,195.833333333
cnap_20260402_165206,105.911924916,10592,100.007624339,ch2,133.159268930,199.000000000,195.882352941
cnap_20260402_165206,106.921745041,10693,100.007720561,ch2,135.278514589,199.000000000,195.882352941
cnap_20260402_165206,107.930790750,10794,100.008532551,ch2,135.278514589,199.000000000,195.882352941
cnap_20260402_165206,108.932703166,10894,100.006698479,ch2,137.931034483,199.000000000,195.944444444
cnap_20260402_165206,109.941452750,10995,100.007774365,ch2,134.920634921,199.000000000,196.000000000
cnap_20260402_165206,110.941462791,11095,100.007695237,ch2,137.096774194,199.000000000,196.058823529
cnap_20260402_165206,111.951886708,11196,100.007247124,ch2,135.638297872,199.000000000,196.058823529
cnap_20260402_165206,112.961743791,11297,100.007308854,ch2,132.812500000,199.055555556,196.058823529
