経過時間,現在時刻,計測回数,Beat Sys [mmHg],Beat Mean [mmHg],Beat Dia [mmHg],Beat HR [bpm]
204.640186083,2026-04-02T17:17:46,258,515.000000000,200.000000000,1020.000000000,1020.000000000
205.291347042,2026-04-02T17:17:47,259,526.000000000,201.000000000,1019.000000000,1021.000000000
205.971644333,2026-04-02T17:17:48,260,522.000000000,202.000000000,1019.000000000,1020.000000000
206.641570083,2026-04-02T17:17:48,261,517.000000000,201.000000000,1020.000000000,1020.000000000
207.271440708,2026-04-02T17:17:49,262,513.000000000,201.000000000,1020.000000000,1020.000000000
208.011385833,2026-04-02T17:17:50,263,509.000000000,203.000000000,1020.000000000,1020.000000000
208.621437708,2026-04-02T17:17:50,264,504.000000000,201.000000000,1021.000000000,1020.000000000
209.241405125,2026-04-02T17:17:51,265,503.000000000,202.000000000,1022.000000000,1021.000000000
209.911449583,2026-04-02T17:17:52,266,510.000000000,201.000000000,1021.000000000,1021.000000000
210.560378375,2026-04-02T17:17:52,267,499.000000000,202.000000000,1021.000000000,1020.000000000
211.149619583,2026-04-02T17:17:53,268,503.000000000,202.000000000,1020.000000000,1020.000000000
211.871416333,2026-04-02T17:17:54,269,500.000000000,200.000000000,1022.000000000,1019.000000000
212.550934542,2026-04-02T17:17:54,270,501.000000000,200.000000000,1020.000000000,1022.000000000
213.322344417,2026-04-02T17:17:55,271,500.000000000,202.000000000,1021.000000000,1022.000000000
214.081575750,2026-04-02T17:17:56,272,496.000000000,201.000000000,1020.000000000,1021.000000000
214.905381417,2026-04-02T17:17:57,273,500.000000000,201.000000000,1019.000000000,1020.000000000
215.671768333,2026-04-02T17:17:57,274,490.000000000,200.000000000,1021.000000000,1020.000000000
216.481549417,2026-04-02T17:17:58,275,487.000000000,201.000000000,1019.000000000,1021.000000000
217.270329958,2026-04-02T17:17:59,276,490.000000000,201.000000000,1021.000000000,1020.000000000
218.091558958,2026-04-02T17:18:00,277,495.000000000,200.000000000,1021.000000000,1020.000000000
218.821720125,2026-04-02T17:18:01,278,505.000000000,203.000000000,1019.000000000,1020.000000000
219.621176042,2026-04-02T17:18:01,279,513.000000000,201.000000000,1021.000000000,1020.000000000
220.341314792,2026-04-02T17:18:02,280,505.000000000,201.000000000,1021.000000000,1021.000000000
221.041583958,2026-04-02T17:18:03,281,495.000000000,201.000000000,1020.000000000,1019.000000000
221.891434375,2026-04-02T17:18:04,282,503.000000000,201.000000000,1021.000000000,1020.000000000
222.581480667,2026-04-02T17:18:04,283,511.000000000,201.000000000,1021.000000000,1021.000000000
223.331436833,2026-04-02T17:18:05,284,523.000000000,201.000000000,1021.000000000,1019.000000000
224.041387583,2026-04-02T17:18:06,285,536.000000000,201.000000000,1020.000000000,1021.000000000
224.751567292,2026-04-02T17:18:07,286,545.000000000,200.000000000,1020.000000000,1021.000000000
225.481516250,2026-04-02T17:18:07,287,542.000000000,201.000000000,1019.000000000,1021.000000000
226.230699083,2026-04-02T17:18:08,288,521.000000000,202.000000000,1019.000000000,1019.000000000
227.000732750,2026-04-02T17:18:09,289,528.000000000,201.000000000,1020.000000000,1021.000000000
227.710810000,2026-04-02T17:18:10,290,539.000000000,200.000000000,1019.000000000,1021.000000000
228.411057000,2026-04-02T17:18:10,291,539.000000000,201.000000000,1020.000000000,1021.000000000
